,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,-2.6552130000000003,-1.156196,-3.001091,-0.18828699999999998,0.915277,0.356101,-0.07345,0.618337,-0.2711,0.458429,0.503363,-0.488883
1,-2.633925,-1.149851,-2.992543,-0.19864400000000002,0.912703,0.35708,-0.20961100000000002,0.673279,-0.306305,0.583394,0.532045,-0.537409
2,-2.618314,-1.1475790000000001,-2.982631,-0.20523000000000002,0.9117719999999999,0.355731,0.132922,0.104835,-0.173929,0.288787,0.588884,-0.6312439999999999
3,-2.584598,-1.15195,-2.9581470000000003,-0.214996,0.913559,0.345224,0.6533800000000001,0.952182,-0.47155,0.159866,0.46283,-0.402567
4,-2.523303,-1.165685,-2.901505,-0.228444,0.919059,0.32115,1.6078270000000001,0.089408,-0.524666,0.09459400000000001,0.334832,-0.22943000000000002
5,-2.438388,-1.196858,-2.80777,-0.23621,0.930896,0.278622,2.775464,-0.15911,-0.394414,0.106526,0.224316,0.16752999999999998
6,-2.2848740000000003,-1.24128,-2.65006,-0.244525,0.946199,0.211916,3.681022,0.798376,-0.330565,-0.092694,0.6010270000000001,0.374632
7,-2.088071,-1.280675,-2.479334,-0.24863400000000002,0.958209,0.14146,2.885097,2.181155,0.34576599999999996,-0.26216999999999996,0.631146,0.455067
8,-1.886732,-1.313072,-2.319162,-0.242256,0.9669719999999999,0.07919,2.603256,2.164043,0.6066020000000001,-0.659463,0.6171800000000001,0.142673
9,-1.641042,-1.335309,-2.092829,-0.232729,0.9724010000000001,0.016375,3.1422,0.776241,0.6089399999999999,-0.466566,0.775982,0.090803
10,-1.362576,-1.338436,-1.806641,-0.225291,0.973126,-0.0476,3.298843,-0.587426,0.235767,-0.365529,0.77071,0.11238900000000002
11,-1.1481729999999999,-1.321076,-1.5465360000000001,-0.225381,0.968982,-0.101359,3.107686,-3.04312,0.19378199999999998,0.09110399999999999,0.504895,0.004252000000000001
