DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
2,21,16,14,Healthy,-0.020498314363295984
2,21,16,14,Healthy,0.19127048103749997
2,21,16,14,Healthy,1.1939048329318307
2,21,16,14,Healthy,0.2561488629678751
2,21,16,14,Healthy,0.29916362710304345
2,21,16,14,Healthy,0.4728960781871251
2,21,16,14,Healthy,0.4705665234984655
2,21,16,14,Healthy,0.5842739813040517
2,21,16,14,Healthy,0.6511556179043921
2,21,16,14,Healthy,0.7173362572742727
2,21,16,14,Healthy,1.7091936838752233
2,21,16,14,Healthy,0.8128219631827377
2,21,16,14,Healthy,0.741983016008998
2,21,16,14,Healthy,0.8017253977589759
2,21,16,14,Healthy,0.9275665911343655
2,21,16,14,Healthy,0.9550707241793155
2,21,16,14,Healthy,0.9317512150479272
2,21,16,14,Healthy,0.9774483565175062
2,21,16,14,Healthy,1.9967258024835859
2,21,16,14,Healthy,1.0584868287726201
2,21,16,14,Healthy,1.0753044510394234
2,21,16,14,Healthy,1.0112537475163796
2,21,16,14,Healthy,1.0030786306573356
2,21,16,14,Healthy,0.9611861679879925
2,21,16,14,Healthy,0.9252896192865171
2,21,16,14,Healthy,0.9179211775291409
2,21,16,14,Healthy,1.8485270919897139
2,21,16,14,Healthy,0.9014182593134783
2,21,16,14,Healthy,0.7511774048583454
2,21,16,14,Healthy,0.7123727537253658
2,21,16,14,Healthy,0.6947085532992441
2,21,16,14,Healthy,0.6622102808651295
2,21,16,14,Healthy,0.6164932151230779
2,21,16,14,Healthy,0.5423197675094098
2,21,16,14,Healthy,1.4111294597126096
2,21,16,14,Healthy,0.36245525645697646
2,21,16,14,Healthy,0.27056642676206444
2,21,16,14,Healthy,0.2709890226387636
2,21,16,14,Healthy,0.1798620075178628
2,21,16,14,Healthy,0.04750166803533283
2,21,16,14,Healthy,0.00168975200071213
2,21,16,14,Healthy,-0.09144518904671743
2,21,16,14,Healthy,0.8434217676669271
2,21,16,14,Healthy,-0.2860207319017779
2,21,16,14,Healthy,-0.3779871930443799
2,21,16,14,Healthy,-0.4300620539525788
2,21,16,14,Healthy,-0.4006510455866794
