DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
5,4,51,10,Healthy,0.021832622546723603
5,4,51,10,Healthy,0.0495830766289945
5,4,51,10,Healthy,1.0848554641531902
5,4,51,10,Healthy,0.21129085732794337
5,4,51,10,Healthy,0.3440197305526715
5,4,51,10,Healthy,0.37030053431139237
5,4,51,10,Healthy,0.5003519797217182
5,4,51,10,Healthy,0.5532564318955512
5,4,51,10,Healthy,0.6270284450699534
5,4,51,10,Healthy,0.6812662246426624
5,4,51,10,Healthy,1.7464181132862249
5,4,51,10,Healthy,0.7439389824067872
5,4,51,10,Healthy,0.7793818325103437
5,4,51,10,Healthy,0.9104984880068984
5,4,51,10,Healthy,0.8576842094211115
5,4,51,10,Healthy,0.9445074121007703
5,4,51,10,Healthy,0.9882325692491759
5,4,51,10,Healthy,0.9894133798789064
5,4,51,10,Healthy,1.9964659531639835
5,4,51,10,Healthy,0.965036908636692
5,4,51,10,Healthy,1.0230926404930452
5,4,51,10,Healthy,1.0365820460737714
5,4,51,10,Healthy,0.9614080481676235
5,4,51,10,Healthy,1.034738947137618
5,4,51,10,Healthy,0.9596466677712433
5,4,51,10,Healthy,0.965907565318
5,4,51,10,Healthy,1.947145883380117
5,4,51,10,Healthy,0.8811487009308765
5,4,51,10,Healthy,0.793053144153552
5,4,51,10,Healthy,0.7916516453033468
5,4,51,10,Healthy,0.6504577183478323
5,4,51,10,Healthy,0.5605876776576184
5,4,51,10,Healthy,0.5285824588477216
5,4,51,10,Healthy,0.5401825169582163
5,4,51,10,Healthy,1.423188437922787
5,4,51,10,Healthy,0.42203641551843346
5,4,51,10,Healthy,0.20241772798044882
5,4,51,10,Healthy,0.28886899078654066
5,4,51,10,Healthy,0.16927178754060404
5,4,51,10,Healthy,0.16422639900002828
5,4,51,10,Healthy,-0.07614547123374092
5,4,51,10,Healthy,-0.19188727122216678
5,4,51,10,Healthy,0.9065439458008353
5,4,51,10,Healthy,-0.2690535445611862
5,4,51,10,Healthy,-0.3254049406586661
5,4,51,10,Healthy,-0.43483064638834745
5,4,51,10,Healthy,-0.4556679642143352
5,4,51,10,Healthy,-0.4605045859183291
5,4,51,10,Healthy,-0.5365554993690781
5,4,51,10,Healthy,-0.5936567721640801
5,4,51,10,Healthy,0.30587760648265944
5,4,51,10,Healthy,-0.7528866548663689
5,4,51,10,Healthy,-0.7827597914115478
5,4,51,10,Healthy,-0.8618638176175353
5,4,51,10,Healthy,-0.8910412023941153
5,4,51,10,Healthy,-1.0072616524734077
5,4,51,10,Healthy,-0.8723264173578918
5,4,51,10,Healthy,-0.9028964942350111
5,4,51,10,Healthy,0.058476567104826134
5,4,51,10,Healthy,-1.006046137652248
5,4,51,10,Healthy,-1.0625781753100731
5,4,51,10,Healthy,-1.0134899549666072
5,4,51,10,Healthy,-0.9681518246960041
5,4,51,10,Healthy,-1.010533312124165
5,4,51,10,Healthy,-0.9405838791476298
5,4,51,10,Healthy,-0.9181372731999883
5,4,51,10,Healthy,0.010995362659071778
5,4,51,10,Healthy,-0.8902789774214639
5,4,51,10,Healthy,-0.8089155936885712
5,4,51,10,Healthy,-0.8457781497209851
5,4,51,10,Healthy,-0.7630096217754146
5,4,51,10,Healthy,-0.6896744368896494
5,4,51,10,Healthy,-0.6390072632448252
5,4,51,10,Healthy,-0.4812436066249139
5,4,51,10,Healthy,0.5833347649472159
5,4,51,10,Healthy,-0.35172899467916396
5,4,51,10,Healthy,-0.3522526797917117
5,4,51,10,Healthy,-0.1348415655395211
5,4,51,10,Healthy,-0.1060329814502028
5,4,51,10,Healthy,-0.08427430084433861
5,4,51,10,Healthy,0.0679763740329483
5,4,51,10,Healthy,0.0417673279143151
5,4,51,10,Healthy,1.1586701693929435
5,4,51,10,Healthy,0.2881043669066828
5,4,51,10,Healthy,0.2953526332310993
5,4,51,10,Healthy,0.34920809681509274
5,4,51,10,Healthy,0.4821414645363513
5,4,51,10,Healthy,0.5544686740383823
5,4,51,10,Healthy,0.5683493625918604
5,4,51,10,Healthy,0.7206007550759552
5,4,51,10,Healthy,1.8113117626797908
5,4,51,10,Healthy,0.7506942789305446
5,4,51,10,Healthy,0.8207242376415494
5,4,51,10,Healthy,0.8450537071951779
5,4,51,10,Healthy,0.9789831764926192
5,4,51,10,Healthy,0.9656812065737282
5,4,51,10,Healthy,0.9770144808924551
5,4,51,10,Healthy,0.9691640537953428
5,4,51,10,Healthy,1.9491814585645848
5,4,51,10,Healthy,1.0157834801771222
5,4,51,11,Healthy,0.979648778393616
5,4,51,11,Healthy,1.0187039750479394
5,4,51,11,Healthy,1.0199373424787523
5,4,51,11,Healthy,1.0198383545382081
5,4,51,11,Healthy,1.0453819892201537
5,4,51,11,Healthy,1.0127629162508676
5,4,51,11,Healthy,1.8866042584872535
5,4,51,11,Healthy,0.8147642675857106
5,4,51,11,Healthy,0.7954535490139664
5,4,51,11,Healthy,0.8797817819518023
5,4,51,11,Healthy,0.7921272042726953
5,4,51,11,Healthy,0.5635958091742981
5,4,51,11,Healthy,0.5002466458918988
5,4,51,11,Healthy,0.5492574509566313
5,4,51,11,Healthy,1.526963318033173
5,4,51,11,Healthy,0.309627761406678
5,4,51,11,Healthy,0.2904642781075124
5,4,51,11,Healthy,0.20279331204436712
5,4,51,11,Healthy,0.15161944095006588
5,4,51,11,Healthy,0.053234733666874534
5,4,51,11,Healthy,-0.0026999857798630103
5,4,51,11,Healthy,-0.0526735640855146
5,4,51,11,Healthy,0.8488798593342956
