name,team,image,battingStyle,bowlingStyle,playingRole,
Junaid Siddique,U.A.E.,,Right hand Bat,Right arm Medium fast,Bowler,
Vikramjit Singh,Netherlands,,Left hand Bat,Right arm Medium fast,Opening Batter,
Max O'Dowd,Netherlands,,Right hand Bat,Right arm Offbreak,Opening Batter,
Bas de Leede,Netherlands,,Right hand Bat,Right arm Fast medium,Batting Allrounder,
Colin Ackermann,Netherlands,,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Tom Cooper,Netherlands,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Scott Edwards(c),Netherlands,,Right hand Bat,,Wicketkeeper Batter,
Roelof van der Merwe,Netherlands,,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Tim Pringle,Netherlands,,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Logan van Beek,Netherlands,,Right hand Bat,Right arm Medium fast,Bowler,
Fred Klaassen,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324241.png",Right hand Bat,Left arm Fast medium,Bowler,
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png",Right hand Bat,Right arm Fast medium,Bowler,
Zahoor Khan,U.A.E.,,Right hand Bat,Right arm Medium fast,Bowler,
Paul Stirling,Ireland,,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Andy Balbirnie(c),Ireland,,Right hand Bat,Right arm Offbreak,Batter,
Lorcan Tucker,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339164.png",Right hand Bat,,Wicketkeeper Batter,
Harry Tector,Ireland,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Curtis Campher,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321343.png",Right hand Bat,Right arm Medium fast,Allrounder,
George Dockrell,Ireland,,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Gareth Delany,Ireland,,Right hand Bat,Legbreak Googly,Batting Allrounder,
Mark Adair,Ireland,,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Barry McCarthy,Ireland,,Right hand Bat,Right arm Fast medium,Bowler,
Fionn Hand,Ireland,,Right hand Bat,Right arm Medium,Bowling Allrounder,
Josh Little,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319874.png",Right hand Bat,Left arm Fast medium,Bowler,
Jos Buttler(c),England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png",Right hand Bat,,Wicketkeeper Batter,
Alex Hales,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png",Right hand Bat,Right arm Medium,Opening Batter,
Dawid Malan,England,,Left hand Bat,Legbreak,Top order Batter,
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png",Left hand Bat,Right arm Fast medium,Allrounder,
Harry Brook,England,,Right hand Bat,Right arm Medium,Batter,
Moeen Ali,England,,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Liam Livingstone,England,,Right hand Bat,Legbreak,Batting Allrounder,
Chris Woakes,England,,Right hand Bat,Right arm Fast medium,Allrounder,
Mark Wood,England,,Right hand Bat,Right arm Fast,Bowler,
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",Left hand Bat,Left arm Medium fast,Allrounder,
Adil Rashid,England,,Right hand Bat,Legbreak,Bowler,
Temba Bavuma(c),South Africa,,Right hand Bat,Right arm Medium,Middle order Batter,
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",Left hand Bat,,Wicketkeeper Batter,
Rilee Rossouw,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316651.png",Left hand Bat,Right arm Offbreak,Top order Batter,
Tristan Stubbs,South Africa,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Aiden Markram,South Africa,,Right hand Bat,Right arm Offbreak,Opening Batter,
David Miller,South Africa,,Left hand Bat,Right arm Offbreak,Middle order Batter,
Wayne Parnell,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316608.png",Left hand Bat,Left arm Medium fast,Bowler,
Mehidy Hasan Miraz,Bangladesh,,Right hand Bat,Right arm Offbreak,Allrounder,
Kagiso Rabada,South Africa,,Left hand Bat,Right arm Fast,Bowler,
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",Right hand Bat,Right arm Fast,Bowler,
Keshav Maharaj,South Africa,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Tabraiz Shamsi,South Africa,,Right hand Bat,Left arm Wrist spin,Bowler,
George Munsey,Scotland,,Left hand Bat,Right arm Medium fast,Opening Batter,
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png",Right hand Bat,Right arm Offbreak,Top order Batter,
Matthew Cross,Scotland,,Right hand Bat,,Wicketkeeper Batter,
Richie Berrington(c),Scotland,,Right hand Bat,Right arm Medium fast,Top order Batter,
Michael Leask,Scotland,,Right hand Bat,Right arm Offbreak,Allrounder,
Calum MacLeod,Scotland,,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,
Simi Singh,Ireland,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,
Mark Watt,Scotland,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Brad Wheal,Scotland,,Right hand Bat,Right arm Fast medium,Bowler,
Josh Davey,Scotland,,Right hand Bat,Right arm Medium fast,Bowler,
Safyaan Sharif,Scotland,,Right hand Bat,Right arm Medium fast,Bowler,
Chris Greaves,Scotland,,Right hand Bat,Legbreak,Bowler,
Michael van Lingen,Namibia,,Left hand Bat,Left arm Medium,Bowling Allrounder,
Divan la Cock,Namibia,,Right hand Bat,Legbreak,Opening Batter,
Stephan Baard,Namibia,,Right hand Bat,Right arm Medium fast,Batter,
Jan Nicol Loftie-Eaton,Namibia,,Left hand Bat,"Right arm Medium, Legbreak",Batter,
Jan Frylinck,Namibia,,Left hand Bat,Left arm Fast medium,Allrounder,
Gerhard Erasmus(c),Namibia,,Right hand Bat,Right arm Offbreak,Allrounder,
David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png",Right hand Bat,Right arm Medium fast,Allrounder,
JJ Smit,Namibia,,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
Bernard Scholtz,Namibia,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Gerhard Erasmus,Namibia,,Right hand Bat,Right arm Offbreak,Allrounder,
Ben Shikongo,Namibia,,Right hand Bat,Right arm Medium fast,Bowler,
David Warner,Australia,,Left hand Bat,Legbreak,Opening Batter,
Cameron Green,Australia,,Right hand Bat,Right arm Fast medium,Batting Allrounder,
Mitchell Marsh,Australia,,Right hand Bat,Right arm Medium,Allrounder,
Steven Smith,Australia,,Right hand Bat,Legbreak Googly,Middle order Batter,
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Right hand Bat,Right arm Medium,Batting Allrounder,
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,
Matthew Wade(c),Australia,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Pat Cummins,Australia,,Right hand Bat,Right arm Fast,Bowler,
Kane Richardson,Australia,,Right hand Bat,Right arm Fast medium,Bowler,
Adam Zampa,Australia,,Right hand Bat,Legbreak Googly,Bowler,
Darwish Rasooli,Afghanistan,,Right hand Bat,Right arm Offbreak,Top order Batter,
Naveen-ul-Haq,Afghanistan,,Right hand Bat,Right arm Medium fast,Bowler,
Josh Hazlewood,Australia,,Left hand Bat,Right arm Fast medium,Bowler,
Kyle Mayers,West Indies,,Left hand Bat,Right arm Medium,Batting Allrounder,
Evin Lewis,West Indies,,Left hand Bat,,Opening Batter,
Brandon King,West Indies,,Right hand Bat,,Top order Batter,
Nicholas Pooran(c),West Indies,,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Shamarh Brooks,West Indies,,Right hand Bat,Legbreak,Top order Batter,
Rovman Powell,West Indies,,Right hand Bat,Right arm Medium fast,Middle order Batter,
Jason Holder,West Indies,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Akeal Hosein,West Indies,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Alzarri Joseph,West Indies,,Right hand Bat,Right arm Fast,Bowler,
Odean Smith,West Indies,,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Obed McCoy,West Indies,,Left hand Bat,Left arm Fast medium,Bowler,
Binura Fernando,Sri Lanka,,Right hand Bat,Left arm Medium fast,Bowler,
Chamika Karunaratne,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Finn Allen,New Zealand,,Right hand Bat,,Top order Batter,
Devon Conway,New Zealand,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Kane Williamson(c),New Zealand,,Right hand Bat,Right arm Offbreak,Top order Batter,
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Daryl Mitchell,New Zealand,,Right hand Bat,Right arm Medium,Allrounder,
James Neesham,New Zealand,,Left hand Bat,Right arm Medium fast,Batting Allrounder,
Trent Boult,New Zealand,,Right hand Bat,Left arm Fast medium,Bowler,
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png",Right hand Bat,Right arm Medium fast,Bowler,
Lockie Ferguson,New Zealand,,Right hand Bat,Right arm Fast,Bowler,
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Ish Sodhi,New Zealand,,Right hand Bat,Legbreak,Bowler,
Luke Jongwe,Zimbabwe,,Right hand Bat,Right arm Fast medium,Bowler,
Haider Ali,Pakistan,,Right hand Bat,,Middle order Batter,
Asif Ali,Pakistan,,Right hand Bat,Right arm Offbreak,Middle order Batter,
KL Rahul,India,,Right hand Bat,,Opening Batter,
Rohit Sharma(c),India,,Right hand Bat,Right arm Offbreak,Top order Batter,
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Right hand Bat,Right arm Medium,Top order Batter,
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,
Axar Patel,India,,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Hardik Pandya,India,,Right hand Bat,Right arm Medium fast,Allrounder,
Dinesh Karthik,India,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Ravichandran Ashwin,India,,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
Bhuvneshwar Kumar,India,,Right hand Bat,Right arm Medium,Bowler,
Arshdeep Singh,India,,Left hand Bat,Left arm Medium fast,Bowler,
Mohammed Shami,India,,Right hand Bat,Right arm Fast,Bowler,
Shariz Ahmad,Netherlands,,Left hand Bat,Legbreak Googly,Bowler,
Johnson Charles,West Indies,,Right hand Bat,,Wicketkeeper Batter,
Dushmantha Chameera,Sri Lanka,,Right hand Bat,Right arm Fast,Bowler,
Aryan Lakra,U.A.E.,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Dasun Shanaka,Sri Lanka,,Right hand Bat,Right arm Medium,Allrounder,
Rishabh Pant,India,,Left hand Bat,,Wicketkeeper Batter,
Chris Jordan,England,,Right hand Bat,Right arm Fast medium,Bowler,
Deepak Hooda,India,,Right hand Bat,Right arm Offbreak,Allrounder,
Lungi Ngidi,South Africa,,Right hand Bat,Right arm Fast medium,Bowler,
Aaron Finch(c),Australia,,Right hand Bat,Slow Left arm Orthodox,Top order Batter,
Tim David,Australia,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Matthew Wade,Australia,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Mitchell Starc,Australia,,Left hand Bat,Left arm Fast,Bowler,
Tony Munyonga,Zimbabwe,,Right hand Bat,Right arm Offbreak,Allrounder,
Wellington Masakadza,Zimbabwe,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Danushka Gunathilaka,Sri Lanka,,Left hand Bat,Right arm Offbreak,Allrounder,
Stephan Myburgh,Netherlands,,Left hand Bat,Right arm Offbreak,Opening Batter,
Brandon Glover,Netherlands,,Right hand Bat,Right arm Fast,Bowler,
Fakhar Zaman,Pakistan,,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Alishan Sharafu,U.A.E.,,Right hand Bat,Right arm Medium,Opening Batter,
Zane Green,Namibia,,Left hand Bat,,Wicketkeeper Batter,
Ruben Trumpelmann,Namibia,,Right hand Bat,Left arm Fast,Bowler,
Ahmed Raza,U.A.E.,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Regis Chakabva(c),Zimbabwe,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Hazratullah Zazai,Afghanistan,,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Shoriful Islam,Bangladesh,,Left hand Bat,Left arm Medium fast,Bowler,
Phil Salt,England,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Ashton Agar,Australia,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Heinrich Klaasen,South Africa,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Timm van der Gugten,Netherlands,,Right hand Bat,Right arm Fast medium,Bowler,
