DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
4,14,20,10,Unhealthy,-0.006856298127919618
4,14,20,10,Unhealthy,0.06871392551312432
4,14,20,10,Unhealthy,1.2649385377222755
4,14,20,10,Unhealthy,0.26714665684959016
4,14,20,10,Unhealthy,0.41343811921222273
4,14,20,10,Unhealthy,0.43984191130835765
4,14,20,10,Unhealthy,0.5872757244545572
4,14,20,10,Unhealthy,0.6151721001035428
4,14,20,10,Unhealthy,1.7031681365101883
4,14,20,10,Unhealthy,0.8310657876386439
4,14,20,10,Unhealthy,0.679320758491404
4,14,20,10,Unhealthy,0.7527065404982171
4,14,20,10,Unhealthy,0.9029714523268572
4,14,20,10,Unhealthy,0.8910868307129174
4,14,20,10,Unhealthy,0.9393440088601708
4,14,20,10,Unhealthy,1.9274832235813255
4,14,20,10,Unhealthy,1.0403275560061005
4,14,20,10,Unhealthy,1.0121998089883886
4,14,20,10,Unhealthy,1.028379894368502
4,14,20,10,Unhealthy,0.9985715707660007
4,14,20,10,Unhealthy,0.9619553466274698
4,14,20,10,Unhealthy,0.8837927122919138
4,14,20,10,Unhealthy,1.9681731082722687
4,14,20,10,Unhealthy,0.8374849691381873
4,14,20,10,Unhealthy,0.7430240852984874
4,14,20,10,Unhealthy,0.6934176521223958
4,14,20,10,Unhealthy,0.7094421377810238
4,14,20,10,Unhealthy,0.5792666188121752
4,14,20,10,Unhealthy,1.496794342182128
4,14,20,10,Unhealthy,0.41591982941693517
4,14,20,10,Unhealthy,0.3058317441552731
4,14,20,10,Unhealthy,0.22782405622915547
4,14,20,10,Unhealthy,0.0883020372200799
4,14,20,10,Unhealthy,0.03473924739093617
4,14,20,10,Unhealthy,-0.022359861245591743
4,14,20,10,Unhealthy,0.8102668488627666
4,14,20,10,Unhealthy,-0.25853676932041075
4,14,20,10,Unhealthy,-0.34714029567017696
4,14,20,10,Unhealthy,-0.370893986958283
4,14,20,10,Unhealthy,-0.43979482320330265
4,14,20,10,Unhealthy,-0.6912462158386098
4,14,20,10,Unhealthy,-0.6193364095769889
4,14,20,10,Unhealthy,0.29813946678134395
4,14,20,10,Unhealthy,-0.7588506509142705
4,14,20,10,Unhealthy,-0.8864901988449488
4,14,20,10,Unhealthy,-0.9647600927836943
4,14,20,10,Unhealthy,-0.9105208027623679
4,14,20,10,Unhealthy,-0.8829141518069563
4,14,20,10,Unhealthy,0.06119536039344397
4,14,20,10,Unhealthy,-0.9406045520164261
4,14,20,10,Unhealthy,-1.0310549288613924
4,14,20,10,Unhealthy,-0.9732940533589863
4,14,20,10,Unhealthy,-0.9392250900500125
4,14,20,10,Unhealthy,-1.0187431499101178
4,14,20,10,Unhealthy,-0.8713519671494792
4,14,20,10,Unhealthy,0.11382761599306335
4,14,20,10,Unhealthy,-0.8352194591966188
4,14,20,10,Unhealthy,-0.8227529841544604
4,14,20,10,Unhealthy,-0.7009382706834242
4,14,20,10,Unhealthy,-0.6816188021862928
4,14,20,10,Unhealthy,-0.5313175206089918
4,14,20,10,Unhealthy,-0.5524039870434915
4,14,20,10,Unhealthy,0.5248425491008871
4,14,20,10,Unhealthy,-0.42158694960320287
4,14,20,10,Unhealthy,-0.23481497995661157
4,14,20,10,Unhealthy,-0.10183608582625778
4,14,20,10,Unhealthy,-0.08361213283711488
4,14,20,10,Unhealthy,0.06778524223343285
4,14,20,10,Unhealthy,1.1163223283297201
4,14,20,10,Unhealthy,0.15632161203400416
4,14,20,10,Unhealthy,0.3336132494797848
4,14,20,10,Unhealthy,0.4386820151357306
4,14,20,10,Unhealthy,0.4879969154283642
4,14,20,10,Unhealthy,0.5754652600296792
4,14,20,10,Unhealthy,0.6166973741476889
4,14,20,10,Unhealthy,1.7201899585255231
4,14,20,10,Unhealthy,0.8313983708561625
4,14,20,10,Unhealthy,0.8566954068257921
4,14,20,10,Unhealthy,0.8953356079853184
4,14,20,10,Unhealthy,0.9633711176853531
4,14,20,10,Unhealthy,1.0303080968674816
4,14,20,10,Unhealthy,0.9396259894244181
4,14,20,10,Unhealthy,2.0278688208946867
4,14,20,10,Unhealthy,1.020501455343351
4,14,20,10,Unhealthy,1.062450595691123
4,14,20,10,Unhealthy,0.9323293623951389
4,14,20,10,Unhealthy,0.9483405559387645
4,14,20,10,Unhealthy,0.8635215010734176
4,14,20,10,Unhealthy,1.9615122310404896
4,14,20,10,Unhealthy,0.8908774403487821
4,14,20,10,Unhealthy,0.7643025366493059
4,14,20,10,Unhealthy,0.7457845086426321
4,14,20,10,Unhealthy,0.6123121792342867
4,14,20,10,Unhealthy,0.7070642168473696
4,14,20,10,Unhealthy,0.42950174896652793
4,14,20,10,Unhealthy,1.3895339072927102
4,14,20,10,Unhealthy,0.3511470748231156
4,14,20,10,Unhealthy,0.21829617013847558
4,14,20,10,Unhealthy,0.12464132313986533
4,14,20,10,Unhealthy,0.11090206467270117
4,14,20,11,Unhealthy,-0.050070413188684375
4,14,20,11,Unhealthy,-0.09918294165183278
4,14,20,11,Unhealthy,0.7921501756769164
4,14,20,11,Unhealthy,-0.2586393443433835
4,14,20,11,Unhealthy,-0.4167518001131519
4,14,20,11,Unhealthy,-0.38133162101859347
4,14,20,11,Unhealthy,-0.5538704829589762
4,14,20,11,Unhealthy,-0.6190968178812153
4,14,20,11,Unhealthy,0.21116948407290892
4,14,20,11,Unhealthy,-0.7278361147020882
4,14,20,11,Unhealthy,-0.7979374598315504
4,14,20,11,Unhealthy,-0.8341819903345364
4,14,20,11,Unhealthy,-0.9061898767443266
4,14,20,11,Unhealthy,-0.8456785940478438
4,14,20,11,Unhealthy,-0.9840230392970443
4,14,20,11,Unhealthy,-0.036230926310257504
4,14,20,11,Unhealthy,-0.9612889742986634
4,14,20,11,Unhealthy,-0.983741111340459
4,14,20,11,Unhealthy,-0.951004910387955
4,14,20,11,Unhealthy,-1.007177085823432
4,14,20,11,Unhealthy,-0.9096487535135968
4,14,20,11,Unhealthy,-0.8724577947685281
4,14,20,11,Unhealthy,0.16066780287533622
4,14,20,11,Unhealthy,-0.8428919573197968
4,14,20,11,Unhealthy,-0.7027803480226646
4,14,20,11,Unhealthy,-0.6710667773232235
4,14,20,11,Unhealthy,-0.6919454550266931
4,14,20,11,Unhealthy,-0.6082409325210446
4,14,20,11,Unhealthy,0.47156504481005224
4,14,20,11,Unhealthy,-0.3779501402088296
4,14,20,11,Unhealthy,-0.237256618837961
4,14,20,11,Unhealthy,-0.30939359770827346
4,14,20,11,Unhealthy,-0.12891364140403958
4,14,20,11,Unhealthy,-0.021632964979465395
4,14,20,11,Unhealthy,0.10821578802747849
4,14,20,11,Unhealthy,1.1349424231456027
4,14,20,11,Unhealthy,0.2745016806254855
4,14,20,11,Unhealthy,0.4505385276464141
4,14,20,11,Unhealthy,0.39933215616580114
4,14,20,11,Unhealthy,0.47992117454088484
4,14,20,11,Unhealthy,0.6456495395072461
4,14,20,11,Unhealthy,0.7314007942096814
4,14,20,11,Unhealthy,1.7833686752650881
4,14,20,11,Unhealthy,0.7542566442139376
4,14,20,11,Unhealthy,0.8483525612062305
4,14,20,11,Unhealthy,0.9814029807219415
4,14,20,11,Unhealthy,1.0038880112862305
4,14,20,11,Unhealthy,0.9188000734112687
4,14,20,11,Unhealthy,1.9836108408060662
4,14,20,11,Unhealthy,1.0049340525368096
4,14,20,11,Unhealthy,0.8713443458155563
4,14,20,11,Unhealthy,0.9510717210652327
4,14,20,11,Unhealthy,1.0481915551055452
4,14,20,11,Unhealthy,0.9025277705652706
4,14,20,11,Unhealthy,0.8910684795926007
4,14,20,11,Unhealthy,1.9065298606948329
4,14,20,11,Unhealthy,0.8413172094762897
4,14,20,11,Unhealthy,0.8272813642564539
4,14,20,11,Unhealthy,0.6951811744035054
4,14,20,11,Unhealthy,0.7137114534697728
4,14,20,11,Unhealthy,0.5875065161044558
4,14,20,11,Unhealthy,0.4735793843229624
