DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
4,6,38,27,Healthy,-0.07513639035478353
4,6,38,27,Healthy,0.043128970282481076
4,6,38,27,Healthy,1.1346497429575502
4,6,38,27,Healthy,0.16634763713628378
4,6,38,27,Healthy,0.2279557891559506
4,6,38,27,Healthy,0.4136221612099249
4,6,38,27,Healthy,0.5381251358605584
4,6,38,27,Healthy,0.5030029679598914
4,6,38,27,Healthy,0.6319463161741534
4,6,38,27,Healthy,0.6311521063363141
4,6,38,27,Healthy,1.7533867878103775
4,6,38,27,Healthy,0.7389296772343806
4,6,38,27,Healthy,0.8839576336419277
4,6,38,27,Healthy,0.8277597710642544
4,6,38,27,Healthy,0.9489596328962069
4,6,38,27,Healthy,0.9563864530631834
4,6,38,27,Healthy,0.918173822471322
4,6,38,27,Healthy,0.9064288385377265
4,6,38,27,Healthy,1.9698308580464776
4,6,38,27,Healthy,1.0450144909116934
4,6,38,27,Healthy,0.9598235425807895
4,6,38,27,Healthy,1.002732082855271
4,6,38,27,Healthy,1.0210625021942612
4,6,38,27,Healthy,0.9455804871775176
4,6,38,27,Healthy,1.0010326067822302
4,6,38,27,Healthy,0.9029397866266249
4,6,38,27,Healthy,1.9336774419705707
4,6,38,27,Healthy,0.8530406286858114
4,6,38,27,Healthy,0.8342782187834331
4,6,38,27,Healthy,0.7820400119323364
4,6,38,27,Healthy,0.7138054478896535
4,6,38,27,Healthy,0.606913831204521
4,6,38,27,Healthy,0.6622131900281072
4,6,38,27,Healthy,0.5242672288354162
4,6,38,27,Healthy,1.5363121744429808
4,6,38,27,Healthy,0.30970712293115993
4,6,38,27,Healthy,0.23444256829901172
4,6,38,27,Healthy,0.21618625139806108
4,6,38,27,Healthy,0.11044570139373289
4,6,38,27,Healthy,0.06259217716544915
4,6,38,27,Healthy,-0.027323914077136503
4,6,38,27,Healthy,-0.07093059646689628
4,6,38,27,Healthy,0.867993361542668
4,6,38,27,Healthy,-0.2914618439164628
4,6,38,27,Healthy,-0.28785492011617025
4,6,38,27,Healthy,-0.43629496109938487
4,6,38,27,Healthy,-0.3521376615844606
4,6,38,27,Healthy,-0.4622501717323648
4,6,38,27,Healthy,-0.5959635370068089
4,6,38,27,Healthy,-0.6178719426422007
4,6,38,27,Healthy,0.36254622933034275
4,6,38,27,Healthy,-0.8667757031438152
4,6,38,27,Healthy,-0.7607745432708504
4,6,38,27,Healthy,-0.9117603727163912
4,6,38,27,Healthy,-0.9171083866658201
4,6,38,27,Healthy,-0.9155220902761512
4,6,38,27,Healthy,-1.0043676597650164
4,6,38,27,Healthy,-0.9759419027049897
4,6,38,27,Healthy,0.034342742993113004
4,6,38,27,Healthy,-0.9982471754689167
4,6,38,27,Healthy,-0.9873406158920276
4,6,38,27,Healthy,-0.9203966271079559
4,6,38,27,Healthy,-1.0090643842165583
4,6,38,27,Healthy,-0.9665553425150905
4,6,38,27,Healthy,-0.987858381919421
4,6,38,27,Healthy,-0.9029335092937346
4,6,38,27,Healthy,0.12393273957992033
4,6,38,27,Healthy,-0.8614747761987509
4,6,38,27,Healthy,-0.792703139788078
4,6,38,27,Healthy,-0.7838376082994499
4,6,38,27,Healthy,-0.7250011736090862
4,6,38,27,Healthy,-0.665847893700005
4,6,38,27,Healthy,-0.6671389031818455
4,6,38,27,Healthy,-0.6106724431164117
4,6,38,27,Healthy,0.6330480273590856
4,6,38,27,Healthy,-0.3456313839147849
4,6,38,27,Healthy,-0.4592538253949177
4,6,38,27,Healthy,-0.17699377325247878
4,6,38,27,Healthy,-0.18392147718504265
4,6,38,27,Healthy,-0.11469369669530774
4,6,38,27,Healthy,0.02739990559883171
4,6,38,27,Healthy,0.08823343794379304
4,6,38,27,Healthy,1.0897817849786382
4,6,38,27,Healthy,0.23591542677678384
4,6,38,27,Healthy,0.3520631127613842
4,6,38,27,Healthy,0.39505743430466284
4,6,38,27,Healthy,0.5268872903188498
4,6,38,27,Healthy,0.512339673010959
4,6,38,27,Healthy,0.6449956970356321
4,6,38,27,Healthy,0.6683169871341851
4,6,38,27,Healthy,1.625440318380989
4,6,38,27,Healthy,0.7327117133513186
4,6,38,27,Healthy,0.7998230396189884
4,6,38,27,Healthy,0.8556167349569397
4,6,38,27,Healthy,0.9078746329328133
4,6,38,27,Healthy,0.9731216405266438
4,6,38,27,Healthy,0.9810593337411395
4,6,38,27,Healthy,0.944614558990981
4,6,38,27,Healthy,1.9604945930917446
4,6,38,27,Healthy,1.0714445533820252
4,6,38,28,Healthy,0.9123228910843524
4,6,38,28,Healthy,1.010955950397654
4,6,38,28,Healthy,0.993333773026472
4,6,38,28,Healthy,0.9900324058205365
4,6,38,28,Healthy,0.886454308258519
4,6,38,28,Healthy,0.9178543699063166
4,6,38,28,Healthy,1.81818954109063
4,6,38,28,Healthy,0.8779000609995159
4,6,38,28,Healthy,0.8306403619135803
4,6,38,28,Healthy,0.741835725104883
4,6,38,28,Healthy,0.7213207501100785
4,6,38,28,Healthy,0.6805911795976148
4,6,38,28,Healthy,0.5979858222357562
4,6,38,28,Healthy,0.47926434248100597
4,6,38,28,Healthy,1.5426283150192697
4,6,38,28,Healthy,0.403487464040647
4,6,38,28,Healthy,0.2612105426961935
4,6,38,28,Healthy,0.23232607092731916
4,6,38,28,Healthy,0.06809312095817203
4,6,38,28,Healthy,0.15379998346043267
4,6,38,28,Healthy,0.040159071689447795
4,6,38,28,Healthy,-0.14639918072104963
4,6,38,28,Healthy,0.8733429208332464
4,6,38,28,Healthy,-0.2786795633145384
4,6,38,28,Healthy,-0.28066582535209506
4,6,38,28,Healthy,-0.41582575202498423
4,6,38,28,Healthy,-0.47155670547348355
4,6,38,28,Healthy,-0.49219158433482874
4,6,38,28,Healthy,-0.5896387840876264
4,6,38,28,Healthy,-0.556353422232403
4,6,38,28,Healthy,0.1934718703257552
4,6,38,28,Healthy,-0.7281848445590274
4,6,38,28,Healthy,-0.8629702561637135
4,6,38,28,Healthy,-0.8468266401254059
4,6,38,28,Healthy,-0.902282623349599
4,6,38,28,Healthy,-0.9398729318097954
4,6,38,28,Healthy,-0.9540243514224456
4,6,38,28,Healthy,-0.9860081151800849
4,6,38,28,Healthy,-0.036472229390197
