DayOfWeek,Hour,Minute,Second,Condition,PPG_Signal
5,6,48,49,Healthy,0.010704423166172483
5,6,48,49,Healthy,0.034803028711075816
5,6,48,49,Healthy,1.2237899694286343
5,6,48,49,Healthy,0.17889530230165257
5,6,48,49,Healthy,0.20250844226375353
5,6,48,49,Healthy,0.3155211246781464
5,6,48,49,Healthy,0.4824216606821657
5,6,48,49,Healthy,0.5163804124264598
5,6,48,49,Healthy,0.6177183122323173
5,6,48,49,Healthy,0.6771756689455672
5,6,48,49,Healthy,1.6230491587565592
5,6,48,49,Healthy,0.8004025946978099
5,6,48,49,Healthy,0.7720013197739828
5,6,48,49,Healthy,0.8736258117539102
5,6,48,49,Healthy,0.8893326190501738
5,6,48,49,Healthy,0.9446952516237369
5,6,48,49,Healthy,0.9472631566193128
5,6,48,49,Healthy,0.9539960248432845
5,6,48,49,Healthy,2.069955761778128
5,6,48,49,Healthy,1.0021492001668584
5,6,48,49,Healthy,1.0318390868750928
5,6,48,49,Healthy,0.9958208084893022
5,6,48,49,Healthy,0.9061131865290191
5,6,48,49,Healthy,0.9669682060626222
5,6,48,49,Healthy,0.9559477534770655
5,6,48,49,Healthy,0.8556983798094961
5,6,48,49,Healthy,1.8652673718540886
5,6,48,49,Healthy,0.8572155403519812
5,6,48,49,Healthy,0.7911837916103781
5,6,48,49,Healthy,0.7876549955631624
5,6,48,49,Healthy,0.733889396672502
5,6,48,49,Healthy,0.698943233549002
5,6,48,49,Healthy,0.5255069156852938
5,6,48,49,Healthy,0.568643024595932
5,6,48,49,Healthy,1.544348962701487
5,6,48,49,Healthy,0.3824393562059447
5,6,48,49,Healthy,0.38622392657199156
5,6,48,49,Healthy,0.2198455915886161
5,6,48,49,Healthy,0.15213040188841437
5,6,48,49,Healthy,0.18481609462686155
5,6,48,49,Healthy,0.03327812657082817
5,6,48,49,Healthy,-0.06233148634403804
5,6,48,49,Healthy,0.8182463083488942
5,6,48,49,Healthy,-0.2275674229977538
5,6,48,49,Healthy,-0.27153958063547057
5,6,48,49,Healthy,-0.39826552524923725
5,6,48,49,Healthy,-0.46488799113139057
5,6,48,49,Healthy,-0.5253412229245153
5,6,48,49,Healthy,-0.6135572177470194
5,6,48,49,Healthy,-0.6920017777628433
5,6,48,49,Healthy,0.2840705172712438
5,6,48,49,Healthy,-0.6681716931617557
5,6,48,49,Healthy,-0.8673137517131098
5,6,48,49,Healthy,-0.8247371343171476
5,6,48,49,Healthy,-0.8355452851936932
5,6,48,49,Healthy,-0.9270859898549605
5,6,48,49,Healthy,-0.9313920167659091
5,6,48,49,Healthy,-0.9783471978104334
5,6,48,49,Healthy,0.014369966348402556
5,6,48,49,Healthy,-0.9296127079306966
5,6,48,49,Healthy,-1.0530307827144492
5,6,48,49,Healthy,-1.0151729170366675
5,6,48,49,Healthy,-0.949264109334525
5,6,48,49,Healthy,-0.9176749260649739
5,6,48,49,Healthy,-0.9438668607979974
5,6,48,49,Healthy,-1.0066451941440222
5,6,48,49,Healthy,0.05665721857255522
5,6,48,49,Healthy,-0.8522193892655381
5,6,48,49,Healthy,-0.8584785654005294
5,6,48,49,Healthy,-0.7188442618777944
5,6,48,49,Healthy,-0.7017197299257208
5,6,48,49,Healthy,-0.6370311280332369
5,6,48,49,Healthy,-0.6233872634380446
5,6,48,49,Healthy,-0.5047006182131039
5,6,48,49,Healthy,0.5080440323874662
5,6,48,49,Healthy,-0.33280490864504236
5,6,48,49,Healthy,-0.3198418820393865
5,6,48,49,Healthy,-0.1316808461697329
5,6,48,49,Healthy,-0.08722403836605293
5,6,48,49,Healthy,0.0747427400220421
5,6,48,49,Healthy,-0.036849169927512956
5,6,48,49,Healthy,0.15058406332656843
5,6,48,49,Healthy,1.1009429948545504
5,6,48,49,Healthy,0.2508427281762132
5,6,48,49,Healthy,0.25876116344004574
5,6,48,49,Healthy,0.36223289911510637
5,6,48,49,Healthy,0.470689610059433
5,6,48,49,Healthy,0.5459880263390116
